CPU,RAM (GB),HDD (GB),Velikost displeje ("),Rozliseni displeje,Cena (Kc)
Intel I3-7200U:0.76,24:0.87,512 SSD:1.00,17.3:1.00,1366x768:0.14,42101
Intel I3-5200U:0.05,24:0.87,750 HDD:0.25,13:0.42,1366x768:0.14,25307
Intel I7-6500U:0.64,32:1.00,1 000 HDD:0.37,12:0.28,1280x800:0.00,33431
Intel I7-5200U:0.23,12:0.62,512 SSD:1.00,11:0.14,2880x1800:0.85,40721
Intel I7-7200U:0.94,2:0.00,512 SSD:1.00,12:0.28,1366x768:0.14,32321
Intel I5-5200U:0.11,24:0.87,320 SSD:0.87,12:0.28,1600x900:0.28,30678
Intel I5-5200U:0.11,4:0.25,1 000 HDD:0.37,15.6:0.85,1366x768:0.14,30045
Intel I5-6500U:0.52,3:0.12,1 000 HDD:0.37,13:0.42,1600x900:0.28,27426
Intel I7-7500U:1.00,32:1.00,256 SSD:0.75,10:0.00,1600x900:0.28,34188
Intel I7-6200U:0.58,8:0.50,512 SSD:1.00,13.3:0.57,1366x768:0.14,37563
Intel I7-5500U:0.29,8:0.50,750 HDD:0.25,14:0.71,1366x768:0.14,30338
Intel I3-6100U:0.35,16:0.75,128 SSD:0.50,12:0.28,1600x900:0.28,26701
Intel I5-5200U:0.11,24:0.87,1 000 HDD:0.37,13.3:0.57,1280x800:0.00,27547
Intel I7-5200U:0.23,16:0.75,256 SSD:0.75,12:0.28,1920x1080:0.57,34027
Intel I3-5200U:0.05,4:0.25,256 SSD:0.75,14:0.71,2560x1440:0.71,30162
Intel I3-7100U:0.70,16:0.75,500 HDD:0.12,12:0.28,1280x800:0.00,26132
Intel I5-7200U:0.82,6:0.37,1 000 HDD:0.37,14:0.71,1366x768:0.14,26747
Intel I3-5200U:0.05,8:0.50,256 SSD:0.75,11:0.14,2560x1440:0.71,30523
Intel I3-5100U:0.00,2:0.00,512 SSD:1.00,13.3:0.57,3840x2160:1.00,40997
Intel I5-7500U:0.88,2:0.00,128 SSD:0.50,13.3:0.57,2880x1800:0.85,31755
Intel I3-5100U:0.00,4:0.25,512 SSD:1.00,13:0.42,1600x900:0.28,29837
Intel I7-7200U:0.94,32:1.00,512 SSD:1.00,11:0.14,1680x1050:0.42,42760
Intel I7-7500U:1.00,32:1.00,1 000 HDD:0.37,13:0.42,1920x1080:0.57,36295
Intel I7-7500U:1.00,2:0.00,320 SSD:0.87,17.3:1.00,3840x2160:1.00,43333
Intel I3-6200U:0.41,4:0.25,1 000 HDD:0.37,17.3:1.00,1280x800:0.00,27794
Intel I3-7200U:0.76,6:0.37,750 HDD:0.25,14:0.71,3840x2160:1.00,33896
Intel I5-7500U:0.88,3:0.12,320 SSD:0.87,13:0.42,2560x1440:0.71,31072
Intel I7-5500U:0.29,24:0.87,1 000 HDD:0.37,13:0.42,3840x2160:1.00,39661
Intel I5-7500U:0.88,3:0.12,1 000 HDD:0.37,13.3:0.57,2560x1440:0.71,30767
Intel I5-7200U:0.82,4:0.25,512 SSD:1.00,12:0.28,1280x800:0.00,31729
Intel I5-6500U:0.52,12:0.62,1 000 HDD:0.37,14:0.71,2880x1800:0.85,34081
Intel I5-6200U:0.47,6:0.37,240 SSD:0.62,12:0.28,1600x900:0.28,28669
Intel I7-6200U:0.58,4:0.25,750 HDD:0.25,10:0.00,2560x1440:0.71,27439
Intel I5-7200U:0.82,8:0.50,128 SSD:0.50,12:0.28,2880x1800:0.85,33098
Intel I7-5200U:0.23,4:0.25,320 HDD:0.00,11:0.14,1600x900:0.28,27322
Intel I7-6500U:0.64,3:0.12,256 SSD:0.75,10:0.00,3840x2160:1.00,34973
Intel I3-6200U:0.41,3:0.12,750 HDD:0.25,15.6:0.85,2880x1800:0.85,30088
Intel I5-7200U:0.82,12:0.62,320 HDD:0.00,17.3:1.00,1600x900:0.28,31192
Intel I5-6500U:0.52,32:1.00,750 HDD:0.25,11:0.14,1920x1080:0.57,31358
Intel I5-6500U:0.52,24:0.87,320 SSD:0.87,15.6:0.85,1600x900:0.28,35333
Intel I5-5200U:0.11,2:0.00,256 SSD:0.75,13.3:0.57,1366x768:0.14,28959
Intel I5-7500U:0.88,24:0.87,512 SSD:1.00,15.6:0.85,1366x768:0.14,41070
Intel I3-6200U:0.41,12:0.62,512 SSD:1.00,14:0.71,1366x768:0.14,34758
Intel I3-7200U:0.76,2:0.00,1 000 HDD:0.37,12:0.28,3840x2160:1.00,31732
Intel I3-5100U:0.00,3:0.12,240 SSD:0.62,15.6:0.85,1366x768:0.14,29347
Intel I3-7100U:0.70,4:0.25,500 HDD:0.12,11:0.14,2560x1440:0.71,27139
Intel I7-7200U:0.94,24:0.87,320 SSD:0.87,17.3:1.00,1366x768:0.14,41090
Intel I7-7200U:0.94,3:0.12,500 HDD:0.12,17.3:1.00,3840x2160:1.00,40740
Intel I3-6100U:0.35,32:1.00,512 SSD:1.00,17.3:1.00,1366x768:0.14,43903
Intel I7-5500U:0.29,4:0.25,320 SSD:0.87,13:0.42,1680x1050:0.42,30787
Intel I5-6500U:0.52,3:0.12,512 SSD:1.00,13.3:0.57,2880x1800:0.85,39507
Intel I5-6200U:0.47,32:1.00,128 SSD:0.50,13.3:0.57,1920x1080:0.57,34438
Intel I5-5500U:0.17,2:0.00,512 SSD:1.00,13.3:0.57,1600x900:0.28,32395
Intel I3-7100U:0.70,2:0.00,1 000 HDD:0.37,15.6:0.85,1920x1080:0.57,29244
Intel I5-7500U:0.88,3:0.12,240 SSD:0.62,10:0.00,1280x800:0.00,25995
Intel I7-7500U:1.00,24:0.87,1 000 HDD:0.37,10:0.00,1680x1050:0.42,32477
Intel I7-5500U:0.29,8:0.50,750 HDD:0.25,10:0.00,1600x900:0.28,28838
Intel I5-7500U:0.88,6:0.37,750 HDD:0.25,17.3:1.00,2560x1440:0.71,33733
Intel I3-6200U:0.41,16:0.75,750 HDD:0.25,15.6:0.85,2560x1440:0.71,30942
Intel I5-5500U:0.17,32:1.00,320 HDD:0.00,12:0.28,2880x1800:0.85,33345
Intel I7-7500U:1.00,4:0.25,256 SSD:0.75,15.6:0.85,2880x1800:0.85,35398
Intel I3-6100U:0.35,6:0.37,512 SSD:1.00,12:0.28,2880x1800:0.85,37490
Intel I7-7500U:1.00,32:1.00,320 HDD:0.00,17.3:1.00,1280x800:0.00,35229
Intel I5-5200U:0.11,32:1.00,320 HDD:0.00,11:0.14,1600x900:0.28,28458
Intel I3-5200U:0.05,2:0.00,500 HDD:0.12,17.3:1.00,2560x1440:0.71,29082
Intel I5-5500U:0.17,24:0.87,750 HDD:0.25,12:0.28,1366x768:0.14,28396
Intel I7-6500U:0.64,4:0.25,128 SSD:0.50,12:0.28,1600x900:0.28,25951
Intel I7-5500U:0.29,16:0.75,1 000 HDD:0.37,14:0.71,2560x1440:0.71,32018
Intel I3-6100U:0.35,8:0.50,750 HDD:0.25,12:0.28,1920x1080:0.57,24450
Intel I5-7500U:0.88,32:1.00,320 HDD:0.00,17.3:1.00,2560x1440:0.71,40580
Intel I3-5200U:0.05,4:0.25,500 HDD:0.12,14:0.71,1920x1080:0.57,25195
Intel I3-5200U:0.05,6:0.37,750 HDD:0.25,13:0.42,1600x900:0.28,25154
Intel I5-6500U:0.52,16:0.75,240 SSD:0.62,13.3:0.57,1680x1050:0.42,30017
Intel I5-7200U:0.82,12:0.62,128 SSD:0.50,13:0.42,1600x900:0.28,27310
Intel I5-5500U:0.17,12:0.62,320 SSD:0.87,15.6:0.85,3840x2160:1.00,43686
Intel I3-6100U:0.35,6:0.37,500 HDD:0.12,12:0.28,1680x1050:0.42,24818
Intel I5-7500U:0.88,12:0.62,1 000 HDD:0.37,13:0.42,1280x800:0.00,28301
Intel I7-7200U:0.94,2:0.00,240 SSD:0.62,15.6:0.85,1280x800:0.00,30869
Intel I3-5200U:0.05,12:0.62,320 HDD:0.00,13:0.42,1366x768:0.14,25437
Intel I3-7200U:0.76,4:0.25,500 HDD:0.12,12:0.28,1600x900:0.28,26058
Intel I5-6500U:0.52,32:1.00,256 SSD:0.75,13:0.42,1680x1050:0.42,35669
Intel I5-6500U:0.52,8:0.50,240 SSD:0.62,17.3:1.00,2560x1440:0.71,34470
Intel I7-6500U:0.64,16:0.75,1 000 HDD:0.37,15.6:0.85,2560x1440:0.71,36742
Intel I3-7100U:0.70,16:0.75,256 SSD:0.75,12:0.28,3840x2160:1.00,35444
Intel I3-6100U:0.35,12:0.62,256 SSD:0.75,13:0.42,2560x1440:0.71,30389
Intel I5-5200U:0.11,16:0.75,320 SSD:0.87,10:0.00,2560x1440:0.71,36384
Intel I3-6100U:0.35,8:0.50,240 SSD:0.62,14:0.71,1366x768:0.14,28953
Intel I3-7100U:0.70,32:1.00,320 HDD:0.00,13:0.42,1680x1050:0.42,27955
Intel I3-5200U:0.05,32:1.00,240 SSD:0.62,12:0.28,1366x768:0.14,32218
Intel I3-7100U:0.70,8:0.50,512 SSD:1.00,15.6:0.85,2880x1800:0.85,39107
Intel I5-7500U:0.88,16:0.75,512 SSD:1.00,14:0.71,1366x768:0.14,38525
Intel I5-7200U:0.82,32:1.00,512 SSD:1.00,14:0.71,3840x2160:1.00,45603
Intel I7-5200U:0.23,6:0.37,500 HDD:0.12,12:0.28,1920x1080:0.57,28262
Intel I5-6500U:0.52,3:0.12,1 000 HDD:0.37,14:0.71,1600x900:0.28,28678
Intel I3-6200U:0.41,32:1.00,256 SSD:0.75,17.3:1.00,1600x900:0.28,37199
Intel I5-7500U:0.88,8:0.50,128 SSD:0.50,11:0.14,2560x1440:0.71,30646
Intel I3-6100U:0.35,32:1.00,256 SSD:0.75,12:0.28,1680x1050:0.42,32890
Intel I3-6100U:0.35,2:0.00,320 SSD:0.87,15.6:0.85,2560x1440:0.71,34907
Intel I3-7100U:0.70,6:0.37,256 SSD:0.75,13.3:0.57,1920x1080:0.57,30430
Intel I3-6100U:0.35,2:0.00,1 000 HDD:0.37,17.3:1.00,2560x1440:0.71,29347
Intel I5-6200U:0.47,2:0.00,750 HDD:0.25,13:0.42,1366x768:0.14,23432
Intel I3-6100U:0.35,2:0.00,256 SSD:0.75,13:0.42,1280x800:0.00,23168
Intel I7-5500U:0.29,3:0.12,1 000 HDD:0.37,14:0.71,1280x800:0.00,29180
Intel I5-6500U:0.52,24:0.87,256 SSD:0.75,11:0.14,1680x1050:0.42,31281
Intel I7-7500U:1.00,24:0.87,320 HDD:0.00,14:0.71,2880x1800:0.85,35232
Intel I5-6500U:0.52,12:0.62,1 000 HDD:0.37,12:0.28,1366x768:0.14,26969
Intel I3-6100U:0.35,6:0.37,320 SSD:0.87,10:0.00,1680x1050:0.42,29334
Intel I5-5500U:0.17,32:1.00,1 000 HDD:0.37,15.6:0.85,1280x800:0.00,34254
Intel I7-7500U:1.00,3:0.12,256 SSD:0.75,12:0.28,1280x800:0.00,30298
Intel I3-7100U:0.70,4:0.25,320 SSD:0.87,13.3:0.57,1600x900:0.28,31132
Intel I5-7200U:0.82,4:0.25,320 SSD:0.87,14:0.71,1680x1050:0.42,30893
Intel I3-6100U:0.35,24:0.87,240 SSD:0.62,14:0.71,2560x1440:0.71,33633
Intel I7-5200U:0.23,3:0.12,256 SSD:0.75,14:0.71,2560x1440:0.71,34633
Intel I3-7200U:0.76,8:0.50,256 SSD:0.75,17.3:1.00,1366x768:0.14,34064
Intel I5-6200U:0.47,4:0.25,750 HDD:0.25,13.3:0.57,2560x1440:0.71,28129
Intel I3-6100U:0.35,3:0.12,240 SSD:0.62,12:0.28,3840x2160:1.00,33866
Intel I3-6100U:0.35,12:0.62,1 000 HDD:0.37,12:0.28,1680x1050:0.42,25616
Intel I5-6200U:0.47,3:0.12,500 HDD:0.12,13.3:0.57,2560x1440:0.71,29884
Intel I7-6500U:0.64,24:0.87,320 HDD:0.00,10:0.00,1680x1050:0.42,32726
Intel I7-7200U:0.94,12:0.62,320 HDD:0.00,10:0.00,1366x768:0.14,27952
Intel I7-5500U:0.29,8:0.50,240 SSD:0.62,13:0.42,3840x2160:1.00,39128
Intel I5-7200U:0.82,4:0.25,256 SSD:0.75,13:0.42,1920x1080:0.57,30622
Intel I7-7200U:0.94,32:1.00,750 HDD:0.25,13:0.42,3840x2160:1.00,39347
Intel I5-5200U:0.11,12:0.62,240 SSD:0.62,13.3:0.57,1600x900:0.28,30514
Intel I7-7200U:0.94,2:0.00,240 SSD:0.62,15.6:0.85,1366x768:0.14,32978
Intel I3-7100U:0.70,4:0.25,240 SSD:0.62,17.3:1.00,1366x768:0.14,32333
Intel I3-5100U:0.00,8:0.50,500 HDD:0.12,15.6:0.85,1366x768:0.14,27327
Intel I3-6200U:0.41,24:0.87,512 SSD:1.00,17.3:1.00,1920x1080:0.57,46011
Intel I7-7500U:1.00,12:0.62,240 SSD:0.62,15.6:0.85,2560x1440:0.71,36438
Intel I7-5500U:0.29,8:0.50,128 SSD:0.50,13.3:0.57,1280x800:0.00,28683
Intel I3-5200U:0.05,8:0.50,1 000 HDD:0.37,15.6:0.85,2560x1440:0.71,31360
Intel I5-5500U:0.17,16:0.75,512 SSD:1.00,15.6:0.85,1680x1050:0.42,41387
Intel I5-5200U:0.11,32:1.00,256 SSD:0.75,13.3:0.57,1600x900:0.28,33906
Intel I3-5200U:0.05,16:0.75,240 SSD:0.62,13.3:0.57,2560x1440:0.71,33684
Intel I3-6200U:0.41,2:0.00,128 SSD:0.50,13:0.42,2560x1440:0.71,27035
Intel I3-7100U:0.70,3:0.12,320 SSD:0.87,13:0.42,1600x900:0.28,26602
Intel I7-7500U:1.00,24:0.87,750 HDD:0.25,11:0.14,2880x1800:0.85,37842
Intel I3-6200U:0.41,4:0.25,512 SSD:1.00,17.3:1.00,2880x1800:0.85,45166
Intel I7-5500U:0.29,4:0.25,500 HDD:0.12,10:0.00,2560x1440:0.71,29389
Intel I7-6200U:0.58,6:0.37,512 SSD:1.00,14:0.71,1280x800:0.00,38417
Intel I5-6500U:0.52,12:0.62,240 SSD:0.62,12:0.28,1920x1080:0.57,31198
Intel I3-5200U:0.05,2:0.00,320 SSD:0.87,15.6:0.85,2560x1440:0.71,35789
Intel I7-5200U:0.23,8:0.50,512 SSD:1.00,10:0.00,3840x2160:1.00,40395
Intel I7-7500U:1.00,6:0.37,500 HDD:0.12,10:0.00,2880x1800:0.85,31895
Intel I3-7200U:0.76,3:0.12,512 SSD:1.00,13:0.42,1600x900:0.28,32289
Intel I7-7500U:1.00,6:0.37,256 SSD:0.75,13.3:0.57,1366x768:0.14,29397
Intel I7-5500U:0.29,3:0.12,256 SSD:0.75,15.6:0.85,2560x1440:0.71,37016
Intel I5-7500U:0.88,12:0.62,256 SSD:0.75,17.3:1.00,3840x2160:1.00,39974
Intel I7-5200U:0.23,6:0.37,256 SSD:0.75,12:0.28,1366x768:0.14,28708
Intel I7-7500U:1.00,8:0.50,512 SSD:1.00,15.6:0.85,1366x768:0.14,39615
Intel I3-6200U:0.41,16:0.75,240 SSD:0.62,11:0.14,1680x1050:0.42,28275
Intel I7-7500U:1.00,12:0.62,1 000 HDD:0.37,12:0.28,2880x1800:0.85,36678
Intel I7-5500U:0.29,3:0.12,320 HDD:0.00,11:0.14,1680x1050:0.42,24908
Intel I5-5500U:0.17,12:0.62,512 SSD:1.00,17.3:1.00,2560x1440:0.71,43760
Intel I5-7500U:0.88,24:0.87,128 SSD:0.50,13.3:0.57,1920x1080:0.57,34034
Intel I5-5500U:0.17,24:0.87,320 SSD:0.87,11:0.14,1280x800:0.00,31317
Intel I7-6500U:0.64,24:0.87,1 000 HDD:0.37,17.3:1.00,2880x1800:0.85,40892
Intel I7-7500U:1.00,12:0.62,320 SSD:0.87,14:0.71,2560x1440:0.71,36012
Intel I7-6500U:0.64,24:0.87,128 SSD:0.50,12:0.28,1366x768:0.14,31215
Intel I7-7500U:1.00,4:0.25,512 SSD:1.00,17.3:1.00,2560x1440:0.71,46857
Intel I3-5200U:0.05,24:0.87,320 HDD:0.00,14:0.71,1600x900:0.28,27901
Intel I7-5500U:0.29,12:0.62,256 SSD:0.75,10:0.00,1600x900:0.28,29811
Intel I3-7100U:0.70,12:0.62,750 HDD:0.25,13:0.42,1680x1050:0.42,25225
Intel I3-6200U:0.41,12:0.62,128 SSD:0.50,12:0.28,1920x1080:0.57,29523
Intel I5-7200U:0.82,6:0.37,500 HDD:0.12,13.3:0.57,1366x768:0.14,25916
Intel I3-7200U:0.76,12:0.62,1 000 HDD:0.37,15.6:0.85,1600x900:0.28,30588
Intel I7-6500U:0.64,32:1.00,750 HDD:0.25,13.3:0.57,2560x1440:0.71,33078
Intel I7-5500U:0.29,16:0.75,240 SSD:0.62,14:0.71,1920x1080:0.57,36027
Intel I3-5200U:0.05,6:0.37,240 SSD:0.62,15.6:0.85,1680x1050:0.42,28698
Intel I3-7200U:0.76,32:1.00,750 HDD:0.25,13.3:0.57,1920x1080:0.57,31017
Intel I7-6200U:0.58,8:0.50,512 SSD:1.00,13.3:0.57,1680x1050:0.42,35784
Intel I5-6500U:0.52,24:0.87,256 SSD:0.75,13.3:0.57,1600x900:0.28,33424
Intel I5-5200U:0.11,2:0.00,320 SSD:0.87,12:0.28,1680x1050:0.42,28392
Intel I5-7200U:0.82,24:0.87,320 SSD:0.87,14:0.71,2880x1800:0.85,42409
Intel I7-7500U:1.00,6:0.37,500 HDD:0.12,15.6:0.85,1680x1050:0.42,33800
Intel I7-6500U:0.64,24:0.87,256 SSD:0.75,11:0.14,1920x1080:0.57,33280
Intel I5-5200U:0.11,32:1.00,500 HDD:0.12,11:0.14,3840x2160:1.00,35385
Intel I3-5200U:0.05,2:0.00,128 SSD:0.50,12:0.28,2880x1800:0.85,29681
Intel I7-6200U:0.58,4:0.25,256 SSD:0.75,10:0.00,2880x1800:0.85,33834
Intel I7-6500U:0.64,32:1.00,320 HDD:0.00,14:0.71,1366x768:0.14,35173
Intel I7-6200U:0.58,32:1.00,320 SSD:0.87,10:0.00,1920x1080:0.57,37207
Intel I3-6200U:0.41,3:0.12,240 SSD:0.62,14:0.71,3840x2160:1.00,35027
Intel I7-6200U:0.58,2:0.00,750 HDD:0.25,13.3:0.57,3840x2160:1.00,35797
Intel I3-7200U:0.76,32:1.00,320 HDD:0.00,15.6:0.85,1680x1050:0.42,33810
Intel I5-7500U:0.88,32:1.00,256 SSD:0.75,13.3:0.57,1280x800:0.00,31400
Intel I5-7500U:0.88,2:0.00,512 SSD:1.00,11:0.14,1280x800:0.00,33685
Intel I7-7500U:1.00,6:0.37,320 HDD:0.00,10:0.00,1366x768:0.14,27201
Intel I7-5200U:0.23,2:0.00,320 SSD:0.87,14:0.71,3840x2160:1.00,36732
Intel I3-7200U:0.76,24:0.87,128 SSD:0.50,12:0.28,2880x1800:0.85,32531
Intel I5-6500U:0.52,6:0.37,512 SSD:1.00,17.3:1.00,1920x1080:0.57,44720
Intel I7-5500U:0.29,6:0.37,320 SSD:0.87,14:0.71,1280x800:0.00,32106
Intel I3-7100U:0.70,4:0.25,240 SSD:0.62,14:0.71,1680x1050:0.42,29342
Intel I5-6500U:0.52,16:0.75,320 HDD:0.00,15.6:0.85,1920x1080:0.57,32973
Intel I7-6200U:0.58,12:0.62,500 HDD:0.12,15.6:0.85,1600x900:0.28,30838
Intel I5-7500U:0.88,16:0.75,512 SSD:1.00,12:0.28,1366x768:0.14,35794
Intel I7-5200U:0.23,16:0.75,500 HDD:0.12,11:0.14,1280x800:0.00,28619
Intel I3-7200U:0.76,6:0.37,256 SSD:0.75,13.3:0.57,1680x1050:0.42,31068
Intel I3-5100U:0.00,4:0.25,256 SSD:0.75,17.3:1.00,2560x1440:0.71,33350
Intel I5-5500U:0.17,2:0.00,750 HDD:0.25,13:0.42,1680x1050:0.42,25187
Intel I3-6200U:0.41,3:0.12,240 SSD:0.62,12:0.28,2560x1440:0.71,29164
Intel I3-7100U:0.70,2:0.00,320 HDD:0.00,10:0.00,1920x1080:0.57,23499
Intel I3-6200U:0.41,4:0.25,500 HDD:0.12,10:0.00,2560x1440:0.71,24878
Intel I7-6500U:0.64,2:0.00,240 SSD:0.62,11:0.14,1280x800:0.00,26894
Intel I7-5500U:0.29,32:1.00,500 HDD:0.12,12:0.28,1920x1080:0.57,33478
Intel I7-5500U:0.29,16:0.75,240 SSD:0.62,12:0.28,1600x900:0.28,29756
Intel I3-7100U:0.70,6:0.37,500 HDD:0.12,11:0.14,1280x800:0.00,23352
Intel I7-6200U:0.58,3:0.12,320 HDD:0.00,11:0.14,1920x1080:0.57,27544
Intel I5-5500U:0.17,16:0.75,512 SSD:1.00,13.3:0.57,2880x1800:0.85,39821
Intel I5-6500U:0.52,16:0.75,128 SSD:0.50,13.3:0.57,2560x1440:0.71,31291
Intel I7-5500U:0.29,32:1.00,500 HDD:0.12,13.3:0.57,1280x800:0.00,29456
Intel I3-5100U:0.00,24:0.87,750 HDD:0.25,13:0.42,2880x1800:0.85,31574
Intel I7-7200U:0.94,32:1.00,320 SSD:0.87,17.3:1.00,2880x1800:0.85,43460
Intel I3-6100U:0.35,6:0.37,128 SSD:0.50,12:0.28,1600x900:0.28,25492
Intel I7-7200U:0.94,32:1.00,750 HDD:0.25,10:0.00,1920x1080:0.57,31845
Intel I5-7500U:0.88,8:0.50,1 000 HDD:0.37,11:0.14,3840x2160:1.00,32159
Intel I5-7500U:0.88,6:0.37,320 SSD:0.87,14:0.71,1280x800:0.00,29272
Intel I7-6500U:0.64,24:0.87,1 000 HDD:0.37,14:0.71,1920x1080:0.57,37407
Intel I3-6200U:0.41,3:0.12,256 SSD:0.75,15.6:0.85,2880x1800:0.85,33411
Intel I3-6200U:0.41,2:0.00,256 SSD:0.75,13.3:0.57,1680x1050:0.42,27234
Intel I3-7100U:0.70,12:0.62,320 SSD:0.87,15.6:0.85,2560x1440:0.71,34458
Intel I3-7200U:0.76,24:0.87,128 SSD:0.50,14:0.71,2560x1440:0.71,31213
Intel I5-7200U:0.82,8:0.50,240 SSD:0.62,13:0.42,1600x900:0.28,29562
Intel I7-6500U:0.64,3:0.12,512 SSD:1.00,11:0.14,1280x800:0.00,33420
Intel I7-6500U:0.64,24:0.87,512 SSD:1.00,11:0.14,3840x2160:1.00,49691
Intel I3-7100U:0.70,24:0.87,240 SSD:0.62,13:0.42,1280x800:0.00,30222
Intel I7-6200U:0.58,24:0.87,320 HDD:0.00,13:0.42,1366x768:0.14,28834
